id,bio,field,expertise,affiliation,max_mentee_capacity,current_mentee_count,preferred_mentee_major,mentoring_goals,mentorship_duration,expertise_uri,field_uri,preferred_mentee_major_uri,profile_visibility
1202,"Director of Engineering at a marketplace company, leading three teams (~25 engineers). Came up through backend, switched to management at the seven-year mark. I mentor seniors thinking about the transition.",Engineering Management,Engineering Management,"",2,0,,"First month: do you actually want this. Months 2-3: if yes, the practical reps — 1:1s, hiring loops, navigating an unhappy team. If no, we spend the time on what you actually want instead.",3,,,,t
1203,"Co-founder/CEO of a developer tools startup, just past one year post-seed. Sold to engineers for a living. Mentor one founder at a time through whatever they're stuck on.",Startup Founding,Fundraising,"",1,0,,"3 months on your actual current bottleneck. Not ""general founder coaching."" If you're stuck on hiring, we do hiring. If it's pricing, we do pricing. Pre-meeting agenda before every session.",3,,,,t
1204,"Staff Engineer at a payments processor. Most of my work is in Java/Spring on systems with no tolerance for downtime. I mentor people moving from mid-level to senior who want depth, not breadth.",Backend Engineering,Java,"",4,0,,"One-month engagement, focused. Pick one piece of code you wrote in the last quarter and we'll tear it apart, then rebuild it together with the trade-offs articulated. That's the whole curriculum.",1,,,,t
1197,"Senior Producer in mobile games, nine years deep. Currently running live ops for a casual title with ~2M MAU. Living in Erzurum now, slower pace, better thinking. I take one mentee at a time so I can be present for them.",Game Industry,Production,"",1,1,,"6 months together. Mentee leaves with a clear-eyed view of what production actually looks like, plus a concrete next step — internship, portfolio piece, or graceful exit if it's not the right field for them.",1,,,,t
1196,Marketing leader with eight years across agency and SaaS. Currently leading growth at a B2B Series B in Ankara. I work best with mentees who want to stop running tactics and start thinking about who their customer actually is.,Digital Marketing,Digital Marketing,"",4,0,,"By the end of 3 months I want my mentee to be able to walk into any room and answer ""who is this for and why now?"" without flinching. Tactics come later; positioning first.",1,,,,t
1199,"Exited founder, two-time first-time-founder (the second time worked). Now angel-investing in early-stage SaaS and mentoring people who think they want to start something. I'll tell you straight when I think you shouldn't.",Entrepreneurship,Startup Operations,"",4,0,,"3 months. By the end you have a clear answer — yes, no, or ""not yet"" — to whether founding is your next step. If yes, you have a problem worth solving and a partner you trust. If no, that's also a win.",1,,,,t
1200,Principal SRE at a payments company. I run a small team and we're on-call for systems people don't notice — exactly how it should be. I take mentees who want to move toward platform/SRE work and want to do it right.,Cloud Architecture,Cloud Architecture,"",4,1,,"By month 3 we will have stood up a small reliable service together, walked through one synthetic incident, and you will have a written runbook in your own voice. If you can do those three things, you're employable as an SRE.",3,,,,t
1206,Independent product design consultant. Spent six years building product design teams in Istanbul before moving to Ordu for the slower water. I take one mentee per quarter — usually a mid-level designer trying to grow into product leadership.,UI/UX Strategy,Product Design,"",1,0,,"Three months. By the end you have one case study in your portfolio that is honest about impact (not just craft), one design critique you've led at a higher level, and a clearer sense of where you want to be in two years.",6,,,,t
1195,"12 years in backend and systems architecture. Ex-Senior Engineer at Trendyol, now part-time CTO at three startups. Spring + JVM ecosystem is my home, but I've spent serious time on AWS, GCP, and Postgres. I try to confront mentees with real production problems, not toy ones.",Cloud Architecture,System Design,"",4,1,,"Over a 3-month engagement I want to work through at least two non-trivial design problems with a mentee — drafting a migration plan from scratch, analyzing an existing single-point-of-failure. The exit is not ""junior"" but ""you can solve this kind of thing on your own.""",3,,,,t
1257,"Documentary photographer, eight years at AA, now freelance from Konya. Mentor photographers moving toward serious documentary or journalism work.",Photography,Photojournalism,"Documentary photographer, ex-AA Photo",2,0,,"3 months. Mentee produces one finished short essay (10-15 images + 800 words), reports through a real story, and learns how to caption ethically.",3,,,,t
1269,"CS faculty at Bilkent, visiting director of PhD admissions at ETH (AI policy track). I take one external mentee per cycle for serious graduate-prep work.",AI Policy,Academic Career Advising,"Director of PhD Admissions, ETH Zurich (visiting)",1,0,,"Six months. End with: research statement publication-ready, target advisor shortlist with realistic probability assessments, and a clear yes/no on whether this is the year.",6,,,,t
1270,Founder of a model-evaluations startup. Ex-OpenAI (alignment team). I mentor people moving toward AI safety as a serious career. Six-month engagements minimum.,AI Safety,Model Evaluations,"Founder, model-evals startup (ex-OpenAI)",2,0,,"End of six months: my mentee has shipped a real eval (released to the field), can articulate where they think alignment work has been overrated and where it's been underrated, and has chosen a concrete next step (industry / PhD / found something / leave the field).",3,,,,t
