id,mentorship_id,title,description,start_time,end_time,status,meeting_link,meeting_type,is_recurring,recurrence_rule,created_by_id,confirmed_at,confirmation_deadline,notes,notes_updated_at,notes_updated_by_id,created_at
62,23,Kick-off: scope and rhythm,,2026-03-30 00:00:00+00,2026-03-30 01:00:00+00,COMPLETED,,VIRTUAL,f,,1195,2026-03-30 00:00:00+00,,Agreed on weekly Thursday calls. Tolga to send a one-page system diagram before each session. Melis to send one question to think about between sessions. First focus area: persistence and delivery guarantees in his message queue project.,2026-03-30 01:00:00+00,1195,2026-03-29 00:00:00+00
63,23,Design review: message queue v1,,2026-04-13 00:00:00+00,2026-04-13 01:15:00+00,COMPLETED,,VIRTUAL,f,,1195,2026-04-13 00:00:00+00,,"Walked the diagram. Found three weak spots — the 'persistence' label hiding actual durability, the consumer model being implicit, and no back-pressure strategy. Tolga to come back with a change list.",2026-04-13 01:15:00+00,1195,2026-03-29 00:00:00+00
64,23,10x design discussion,,2026-04-21 00:00:00+00,2026-04-21 01:00:00+00,COMPLETED,,VIRTUAL,f,,1195,2026-04-21 00:00:00+00,,Worked through the back-pressure question. Picked windowed credit-based for the consumer side. Tolga implemented it during the week.,2026-04-21 01:00:00+00,1195,2026-03-29 00:00:00+00
65,23,Mock interview #1,,2026-05-05 00:00:00+00,2026-05-05 01:30:00+00,COMPLETED,,VIRTUAL,f,,1195,2026-05-05 00:00:00+00,,"Three estimation questions. Tolga froze on the first, recovered on the second, was strong on the third. Pattern: he over-thinks the opening. Practice: start with the constraint, not the architecture.",2026-05-05 01:30:00+00,1195,2026-03-29 00:00:00+00
66,23,Mid-point review,,2026-05-20 00:00:00+00,2026-05-20 01:00:00+00,CONFIRMED,,VIRTUAL,f,,1195,2026-05-20 00:00:00+00,,,,,2026-03-29 00:00:00+00
67,23,Mock interview #2 and goal setting for month 3,,2026-06-03 00:00:00+00,2026-06-03 01:30:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1195,,,,,,2026-03-29 00:00:00+00
68,24,Kick-off,,2026-04-14 00:00:00+00,2026-04-14 01:00:00+00,COMPLETED,,VIRTUAL,f,,1197,2026-04-14 00:00:00+00,,"Agreed on six months. Set the lateral cadence: every two weeks, one Friday call, asynchronous notes between. İsmail's 'happy week' homework as the diagnostic.",2026-04-14 01:00:00+00,1197,2026-04-13 00:00:00+00
69,24,Paths-side-by-side review,,2026-04-28 00:00:00+00,2026-04-28 01:15:00+00,COMPLETED,,VIRTUAL,f,,1197,2026-04-28 00:00:00+00,,Reviewed the side-by-side. İsmail leans games but is intimidated by team size. We discussed indie + solo paths. Production lessons translate one-to-one; the field is smaller than the AAA version implies.,2026-04-28 01:15:00+00,1197,2026-04-13 00:00:00+00
70,24,Paper prototype review,,2026-05-03 00:00:00+00,2026-05-03 00:45:00+00,COMPLETED,,VIRTUAL,f,,1197,2026-05-03 00:00:00+00,,Walked through three paper sketches. Aras flagged the third as the one to develop — the moment of orientation when you first see your trail laid out is the design opportunity.,2026-05-03 00:45:00+00,1197,2026-04-13 00:00:00+00
71,24,GPS filter design,,2026-05-20 00:00:00+00,2026-05-20 01:00:00+00,CONFIRMED,,VIRTUAL,f,,1197,2026-05-20 00:00:00+00,,,,,2026-04-13 00:00:00+00
72,24,Month-3 decision call,,2026-07-12 00:00:00+00,2026-07-12 01:30:00+00,PENDING_CONFIRMATION,,VIRTUAL,f,,1197,,,,,,2026-04-13 00:00:00+00
