id,author_id,body,created_at,updated_at,deleted_at,version,lang
515,1195,"Spent yesterday drafting a PostgreSQL 12→16 migration plan for a startup. The thing most people miss: replica lag is a bigger problem than the downtime itself. You have to pause app-side writes for an hour before cutover and let the lag drain to zero, otherwise you're chasing rows.",2026-05-02 14:59:14.078514+00,2026-05-02 14:59:14.078514+00,,0,tr
516,1195,"Been load-testing Spring Boot 3.x virtual threads against a real workload for a month. Result: I/O-heavy endpoints saw p99 drop ~40%; CPU-bound code is unchanged. Caveat: any library still using ThreadLocal will surprise you, watch out.",2026-04-10 00:06:24.570067+00,2026-04-10 00:06:24.570067+00,,0,tr
517,1195,"Anyone prepping for a system design interview: before you say ""scale to one million users"" at the whiteboard, sketch a realistic traffic distribution. There is no uniform load. 80% of users hit 20% of your endpoints. Design to that, not the average.",2026-05-05 05:01:28.449522+00,2026-05-05 05:01:28.449522+00,,0,tr
518,1195,"Took the Vespa for a Bosphorus loop this morning, just to clear my head. Got home and shipped three bug fixes in an hour. Devs: stop underestimating how much getting away from the screen improves the work.",2026-04-29 07:39:01.538957+00,2026-04-29 07:39:01.538957+00,,0,tr
519,1195,"Favourite way I explain eventual consistency: an e-commerce cart shows quantity 1 in the UI but stock is already 0. Strong consistency means the user waits 200ms on every interaction. Eventual means the checkout fails at the end and they learn. Which is worse? Always ""it depends"" — and that's the whole answer.",2026-04-15 01:37:37.58202+00,2026-04-15 01:37:37.58202+00,,0,tr
520,1195,"""Senior"" isn't measured in years or title, it's measured by whether you're the calmest person in the room when the 2am incident channel lights up. I learned that from Pelin abla at Trendyol. Still hasn't left me.",2026-04-26 07:09:43.01207+00,2026-04-26 07:09:43.01207+00,,0,tr
521,1195,"On the OpenSearch vs Elasticsearch debate post-2024: licensing has shifted enough that for greenfield work I now default to OpenSearch. If you're self-hosting outside AWS, the latest Elastic license change is a real risk to weigh.",2026-05-02 03:32:37.199138+00,2026-05-02 03:32:37.199138+00,,0,tr
522,1195,"Hiring ""complex problem solving"": stop using CodeSignal, run a real on-call scenario instead. ""This alarm just fired and you own the service — walk me through what you'd do."" Teaches you more about a candidate than any CV bullet ever will.",2026-05-03 23:08:02.835665+00,2026-05-03 23:08:02.835665+00,,0,tr
523,1196,"Stop calling everything a ""growth hack."" If you can't explain it as a hypothesis about your customer, it's not growth — it's just a thing you tried. Write the hypothesis first, ship second.",2026-04-30 13:38:53.633738+00,2026-04-30 13:38:53.633738+00,,0,tr
524,1196,"Re-read ""Obviously Awesome"" by April Dunford this week for the fourth time. Still the most underrated positioning book on the market. Especially good if you're stuck on differentiation and reaching for feature lists instead.",2026-04-28 13:46:45.367658+00,2026-04-28 13:46:45.367658+00,,0,tr
525,1197,"Production isn't about Gantt charts. It's about being the person who tells the designer their feature has to ship in three weeks instead of six, and still keeping their respect afterward. The chart is just paperwork.",2026-04-15 07:46:09.691115+00,2026-04-15 07:46:09.691115+00,,0,tr
526,1197,"Live ops calendar planning for Q3 starts tomorrow. The mistake juniors make: stacking events back-to-back to look productive. Better: 3 strong events, 4 quiet weeks, measured KPIs at each end.",2026-04-13 21:37:06.701946+00,2026-04-13 21:37:06.701946+00,,0,tr
527,1197,Moved to Erzurum to slow down. Two years in: I think 40% slower in the right way. Decisions I make now are better. Recommend everyone in this industry try a winter somewhere cold and quiet.,2026-04-30 14:22:07.283837+00,2026-04-30 14:22:07.283837+00,,0,tr
528,1197,"Hot take: ""soft skills"" is a terrible label for what's actually a critical leadership skill set. Negotiation, conflict resolution, narrative — these are harder to learn than any engine API. Rename them already.",2026-05-06 23:37:12.376303+00,2026-05-06 23:37:12.376303+00,,0,tr
529,1198,"Most rejected PhD applications fail at the research statement, not the grades. The opening paragraph has to answer: what question are you committed to, why is it hard, and why are you the right person to take a swing at it. That's it.",2026-04-29 19:03:53.798715+00,2026-04-29 19:03:53.798715+00,,0,tr
530,1198,"Spent the afternoon with a paper on interpretability via influence functions. The math is denser than it needs to be but the core idea is elegant. If you're scared of papers, start with the introduction and conclusion only. Build up from there.",2026-04-15 00:38:57.244192+00,2026-04-15 00:38:57.244192+00,,0,tr
