id,mentorship_id,title,description,due_date,status,created_at,updated_at
41,23,Rewrite the message queue with delivery guarantees,"Pick at-least-once or exactly-once and justify the choice. Implementation must include the broker, one producer, one consumer, and a failure-injection test.",2026-05-03 00:00:00+00,COMPLETED,2026-03-29 00:00:00+00,2026-03-29 00:00:00+00
42,23,Estimate-at-the-whiteboard practice,Run three estimation questions verbally. Record. Self-review.,2026-05-16 00:00:00+00,PENDING,2026-03-29 00:00:00+00,2026-03-29 00:00:00+00
43,23,Read 'Designing Data-Intensive Applications' Chapter 7,Transactions chapter. Come with one question per section. We discuss in session.,2026-05-27 00:00:00+00,PENDING,2026-03-29 00:00:00+00,2026-03-29 00:00:00+00
44,24,Write the 'happy week in 5 years' paragraph,"One paragraph, honest, no filter. We'll revisit it in month three.",2026-04-16 00:00:00+00,COMPLETED,2026-04-13 00:00:00+00,2026-04-13 00:00:00+00
45,24,Paper prototype: first ten seconds of a hiking game,Use only paper. Three sketches minimum. The first-ten-seconds question is the design problem.,2026-04-30 00:00:00+00,COMPLETED,2026-04-13 00:00:00+00,2026-04-13 00:00:00+00
46,24,GPS noise filtering for the hiking-trail Flutter app,"Pick a simple filter (moving average or Kalman). Implement, measure error before/after, write a paragraph on the trade-offs.",2026-05-20 00:00:00+00,PENDING,2026-04-13 00:00:00+00,2026-04-13 00:00:00+00
47,25,Draft research statement v1 → v3,"Three full drafts in the first two weeks. Different opening, different framing each time.",2026-04-23 00:00:00+00,COMPLETED,2026-04-15 00:00:00+00,2026-04-15 00:00:00+00
48,25,Read three papers from each target advisor,"Use the abstracts to filter; full read on the most-cited. Take notes on the question they're asking, not just the result.",2026-05-18 00:00:00+00,PENDING,2026-04-15 00:00:00+00,2026-04-15 00:00:00+00
49,25,Build a sustainable writing routine,"60 minutes a day, same time. Two weeks consecutive. Report at our next session whether it stuck.",2026-05-27 00:00:00+00,PENDING,2026-04-15 00:00:00+00,2026-04-15 00:00:00+00
50,26,Multi-stage Docker build + measurement,"Take an existing service, write a multi-stage Dockerfile, measure image size and cold start before/after.",2026-04-29 00:00:00+00,COMPLETED,2026-04-18 00:00:00+00,2026-04-18 00:00:00+00
51,26,VPC + IAM hands-on labs,"Two weeks of lab work in your free AWS account. Peering, transit gateway, IAM policy debugging. No more reading without doing.",2026-05-23 00:00:00+00,PENDING,2026-04-18 00:00:00+00,2026-04-18 00:00:00+00
52,26,Build and operate a small platform,ECS service + CloudWatch metrics + a documented runbook for one failure mode. Ship it; document it.,2026-06-17 00:00:00+00,PENDING,2026-04-18 00:00:00+00,2026-04-18 00:00:00+00
53,27,Read 20 audit reports,Mainstream firms only. Note the pattern of finding categories. Stop CTFs for the month.,2026-04-18 00:00:00+00,COMPLETED,2026-03-24 00:00:00+00,2026-03-24 00:00:00+00
54,27,Write three formal bug reports,One per month for months 2-4. Real findings or simulated; the writing is the skill.,2026-06-12 00:00:00+00,PENDING,2026-03-24 00:00:00+00,2026-03-24 00:00:00+00
55,27,OSCP exam preparation block,"Structured prep, lab time, mock exam at week 8. Real exam scheduled for month four.",2026-07-12 00:00:00+00,PENDING,2026-03-24 00:00:00+00,2026-03-24 00:00:00+00
56,27,Apply to five security internships,"Targeted applications, not spam. One paragraph per company on why this team.",2026-08-01 00:00:00+00,PENDING,2026-03-24 00:00:00+00,2026-03-24 00:00:00+00
57,28,ADR #1: Pagination strategy for the feed,"Write your own architecture decision record before reading mine. Include trade-offs, alternatives considered, and the test the decision needs to survive.",2026-03-18 00:00:00+00,COMPLETED,2026-03-14 00:00:00+00,2026-03-14 00:00:00+00
58,28,ADR #2: Caching strategy,"Same exercise. Decide between memory-only, persisted, and hybrid. Justify with concrete failure modes.",2026-04-03 00:00:00+00,COMPLETED,2026-03-14 00:00:00+00,2026-03-14 00:00:00+00
59,28,State management refactor + ADR,"End-to-end refactor of the state-management layer in your app. Write the ADR first, then ship the code.",2026-05-11 00:00:00+00,COMPLETED,2026-03-14 00:00:00+00,2026-03-14 00:00:00+00
60,28,Cross-team meeting facilitation prep,"Prepare to run a 30-minute cross-team meeting in our org (I'll provide the topic). Agenda, decisions list, and a written follow-up. We rehearse before.",2026-05-27 00:00:00+00,PENDING,2026-03-14 00:00:00+00,2026-03-14 00:00:00+00
61,28,Architecture interview prep — 4 mock interviews,Four mock architecture interviews over four weeks. I'll run them in interview format with feedback.,2026-06-24 00:00:00+00,PENDING,2026-03-14 00:00:00+00,2026-03-14 00:00:00+00
62,29,Rewrite cover letter — no apology paragraph,Cut every sentence that explains 'why you're not a developer.' Keep only what you bring.,2024-10-30 00:00:00+00,COMPLETED,2025-04-10 00:00:00+00,2025-04-10 00:00:00+00
63,29,"Five companies actually wanted, not five hiring",Real shortlist. One paragraph per company on why this team specifically.,2024-11-11 00:00:00+00,COMPLETED,2025-04-10 00:00:00+00,2025-04-10 00:00:00+00
64,29,Portfolio: three real content audits,"Audit a small business's existing content, write a one-page improvement memo for each.",2024-12-11 00:00:00+00,COMPLETED,2025-04-10 00:00:00+00,2025-04-10 00:00:00+00
65,29,Wrap document: lessons from the engagement,"One page of lessons we both write down, signed by both.",2025-01-10 00:00:00+00,COMPLETED,2025-04-10 00:00:00+00,2025-04-10 00:00:00+00
66,30,"Daily research journal, weeks 1-4","One entry per day, minimum 200 words, written immediately after reading. No retroactive entries. Send weekly summary.",2024-12-17 00:00:00+00,COMPLETED,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
67,30,Close read of three foundational interpretability papers,"Choose three: one classic (>5 years old), one modern, one disputed. Write a one-page reading note for each.",2025-01-16 00:00:00+00,COMPLETED,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
68,30,Draft 'research vs industry' decision memo,"Two-page memo arguing the case for each path, with explicit weights on the factors. Final session reviews this.",2025-02-15 00:00:00+00,COMPLETED,2025-04-01 00:00:00+00,2025-04-01 00:00:00+00
69,31,"Drive Sakarya–Düzce, 6 honest discovery calls",Cold walk-ins at logistics warehouses. Notebook only; no slides.,2025-01-11 00:00:00+00,COMPLETED,2025-08-19 00:00:00+00,2025-08-19 00:00:00+00
70,31,Write the startup's obituary (3 pages),"If this fails, why? Three pages, before the next call.",2025-01-31 00:00:00+00,COMPLETED,2025-08-19 00:00:00+00,2025-08-19 00:00:00+00
71,31,Cofounder search: three serious conversations,Identify three people you'd actually want as cofounder. Have the conversation. Report back.,2025-02-20 00:00:00+00,COMPLETED,2025-08-19 00:00:00+00,2025-08-19 00:00:00+00
72,31,Decision call and wrap document,Write the wrap doc together. Be specific about what you learned.,2025-03-12 00:00:00+00,COMPLETED,2025-08-19 00:00:00+00,2025-08-19 00:00:00+00
73,32,Customer discovery: 6 cold conversations,"Find a problem worth a startup, talk to six potential customers cold. Notebook only.",2025-03-15 00:00:00+00,COMPLETED,2025-04-02 00:00:00+00,2025-04-02 00:00:00+00
74,32,Pre-mortem: 3 pages on why the startup would fail,Be honest about the dominant failure mode. The dominant one is the answer.,2025-03-25 00:00:00+00,COMPLETED,2025-04-02 00:00:00+00,2025-04-02 00:00:00+00
